Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
15,125	0,49	0,09	0,69
15,150	0,49	0,10	0,61
15,175	0,49	0,12	0,76
15,200	0,50	0,14	0,76
15,225	0,50	0,15	0,62
15,250	0,51	0,17	0,55
15,275	0,51	0,18	0,55
15,300	0,51	0,20	0,56
15,325	0,52	0,21	0,42
15,350	0,52	0,22	0,20
15,375	0,53	0,22	0,27
15,400	0,54	0,23	0,35
15,425	0,54	0,24	0,21
15,450	0,55	0,24	0,21
15,475	0,55	0,25	0,10
15,500	0,56	0,25	0,76
15,525	0,57	0,29	0,87
15,550	0,57	0,29	-0,89
15,575	0,58	0,24	-0,95
15,600	0,59	0,24	0,00
15,625	0,59	0,24	-0,06
15,650	0,60	0,24	-0,20
15,675	0,60	0,23	-0,28
15,700	0,61	0,22	-0,18
15,725	0,62	0,22	-0,61
15,750	0,62	0,19	-0,73
15,775	0,63	0,19	-0,12
15,800	0,63	0,19	-0,39
15,825	0,63	0,17	-0,70
15,850	0,64	0,15	-0,61
15,875	0,64	0,14	0,28
15,900	0,65	0,17	0,32
15,925	0,65	0,15	-1,32
15,950	0,65	0,10	-1,14
15,975	0,66	0,09	-0,54
16,000	0,66	0,07	-0,63
16,025	0,66	0,06	-0,40
16,050	0,66	0,05	-0,55
16,075	0,66	0,04	-0,56
16,100	0,66	0,03	-0,48
16,125	0,66	0,01	-0,49
16,150	0,66	5,30E-4	-0,34
16,175	0,66	-0,01	-0,41
16,200	0,66	-0,02	-0,42
16,225	0,66	-0,03	-0,26
16,250	0,66	-0,03	-0,41
16,275	0,66	-0,05	-0,43
16,300	0,66	-0,05	-0,20
16,325	0,66	-0,06	-0,27
16,350	0,66	-0,07	-0,28
16,375	0,65	-0,07	-1,19
16,400	0,65	-0,13	-1,10
16,425	0,65	-0,13	0,85
16,450	0,65	-0,08	0,53
16,475	0,64	-0,10	-0,15
16,500	0,64	-0,09	0,02
16,525	0,64	-0,10	-0,30
16,550	0,64	-0,11	-0,01
16,575	0,63	-0,10	0,09
16,600	0,63	-0,10	-0,29
16,625	0,63	-0,11	-0,15
16,650	0,63	-0,11	0,07
16,675	0,62	-0,11	0,00
16,700	0,62	-0,11	0,07
16,725	0,62	-0,11	0,07
16,750	0,61	-0,11	-1,96E-13
16,775	0,61	-0,11	-4,44E-14
16,800	0,61	-0,11	1,96E-13
16,825	0,61	-0,11	4,44E-14
16,850	0,60	-0,11	-4,44E-14
16,875	0,60	-0,11	-1,96E-13
16,900	0,60	-0,11	0,00
16,925	0,60	-0,11	0,06
16,950	0,59	-0,10	0,22
16,975	0,59	-0,10	0,01
17,000	0,59	-0,10	-0,23
17,025	0,59	-0,11	0,06
17,050	0,58	-0,10	0,15
17,075	0,58	-0,10	-0,07
17,100	0,58	-0,10	-0,08
17,125	0,58	-0,10	0,07
17,150	0,57	-0,10	0,08
17,175	0,57	-0,10	-0,07
17,200	0,57	-0,10	0,00
17,225	0,57	-0,10	0,13
17,250	0,56	-0,10	-0,88
17,275	0,56	-0,14	-0,06
17,300	0,56	-0,10	1,00
17,325	0,56	-0,09	-0,81
17,350	0,55	-0,14	-0,06
17,375	0,55	-0,10	0,95
17,400	0,55	-0,09	0,07
17,425	0,54	-0,09	0,07
17,450	0,54	-0,09	0,07
17,475	0,54	-0,09	0,06
17,500	0,54	-0,09	0,13
17,525	0,54	-0,08	0,21
17,550	0,53	-0,08	0,21
17,575	0,53	-0,07	0,20
17,600	0,53	-0,07	0,28
17,625	0,53	-0,06	0,20
17,650	0,53	-0,06	0,27
17,675	0,53	-0,05	0,35
17,700	0,52	-0,04	0,28
17,725	0,52	-0,03	0,27
17,750	0,52	-0,02	0,40
17,775	0,52	-0,01	0,56
17,800	0,52	0,00	0,42
17,825	0,52	0,01	0,34
17,850	0,52	0,02	0,48
17,875	0,52	0,03	0,49
17,900	0,52	0,04	0,41
17,925	0,53	0,05	0,48
17,950	0,53	0,07	0,55
17,975	0,53	0,08	0,55
18,000	0,53	0,10	0,49
18,025	0,53	0,11	0,41
18,050	0,54	0,12	0,48
18,075	0,54	0,13	0,55
18,100	0,54	0,14	0,49
18,125	0,55	0,15	0,41
18,150	0,55	0,16	0,48
18,175	0,55	0,18	0,49
18,200	0,56	0,19	0,34
18,225	0,56	0,20	0,34
18,250	0,57	0,21	0,35
18,275	0,57	0,21	0,27
18,300	0,58	0,22	0,28
18,325	0,59	0,23	0,21
18,350	0,59	0,23	0,08
18,375	0,60	0,23	0,96
18,400	0,60	0,28	1,15
18,425	0,61	0,29	-0,61
18,450	0,62	0,25	-0,79
18,475	0,62	0,25	-0,20
18,500	0,63	0,24	-0,28
18,525	0,64	0,23	-0,13
18,550	0,64	0,23	-0,26
18,575	0,65	0,22	0,57
18,600	0,65	0,26	0,48
18,625	0,66	0,24	-1,45
18,650	0,66	0,19	-1,37
18,675	0,67	0,18	-0,40
18,700	0,67	0,17	-0,54
18,725	0,68	0,15	-0,63
18,750	0,68	0,13	-0,47
18,775	0,68	0,13	-0,61
18,800	0,69	0,10	-0,76
18,825	0,69	0,09	-0,68
18,850	0,69	0,07	-0,75
18,875	0,69	0,05	-0,83
18,900	0,69	0,03	-0,83
18,925	0,69	0,01	-0,82
18,950	0,69	-0,01	-0,90
18,975	0,69	-0,04	-0,83
19,000	0,69	-0,05	-0,75
19,025	0,69	-0,07	-0,90
19,050	0,69	-0,10	-0,83
19,075	0,69	-0,12	-0,75
19,100	0,68	-0,14	-0,83
19,125	0,68	-0,16	-0,76
19,150	0,68	-0,17	-0,69
19,175	0,67	-0,19	-0,62
19,200	0,67	-0,21	-0,62
19,225	0,66	-0,22	-0,69
19,250	0,65	-0,24	-0,63
19,275	0,65	-0,25	-0,49
19,300	0,64	-0,26	-1,38
19,325	0,64	-0,32	-1,43
19,350	0,63	-0,34	0,27
19,375	0,62	-0,31	0,31
19,400	0,61	-0,32	-0,16
19,425	0,60	-0,32	0,19
19,450	0,59	-0,31	-0,62
19,475	0,59	-0,35	-0,72
19,500	0,58	-0,35	0,83
19,525	0,57	-0,31	0,86
19,550	0,56	-0,30	0,28
19,575	0,55	-0,29	0,28
19,600	0,55	-0,29	0,26
19,625	0,54	-0,28	0,48
19,650	0,53	-0,27	0,48
19,675	0,53	-0,26	0,47
19,700	0,52	-0,24	0,62
19,725	0,51	-0,22	0,69
19,750	0,51	-0,21	0,62
19,775	0,50	-0,19	0,68
19,800	0,50	-0,17	0,83
19,825	0,50	-0,15	0,82
19,850	0,49	-0,13	0,90
19,875	0,49	-0,11	0,83
19,900	0,49	-0,09	0,75
