Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
10,420	0,65	0,17	-0,89
10,440	0,65	0,07	-4,63
10,460	0,65	-0,02	-0,87
10,480	0,65	0,04	0,70
10,500	0,65	0,01	-1,18
10,520	0,65	-0,01	-1,14
10,540	0,65	-0,04	-1,67
10,560	0,65	-0,08	-1,05
10,580	0,65	-0,08	0,14
10,600	0,65	-0,07	-2,94
10,620	0,64	-0,19	-1,51
10,640	0,64	-0,13	1,39
10,660	0,64	-0,14	-2,49
10,680	0,63	-0,23	-1,20
10,700	0,63	-0,19	0,28
10,720	0,62	-0,22	-0,45
10,740	0,62	-0,20	-0,12
10,760	0,62	-0,23	-1,39
10,780	0,61	-0,26	-0,22
10,800	0,61	-0,23	-0,11
10,820	0,60	-0,26	-1,47
10,840	0,60	-0,29	-0,67
10,860	0,59	-0,29	-0,34
10,880	0,58	-0,31	-0,03
10,900	0,58	-0,29	-1,04
10,920	0,57	-0,35	-1,71
10,940	0,56	-0,36	0,94
10,960	0,56	-0,31	1,38
10,980	0,55	-0,31	0,24
11,000	0,55	-0,30	-0,09
11,020	0,54	-0,31	-0,36
11,040	0,53	-0,31	0,09
11,060	0,53	-0,31	0,33
11,080	0,52	-0,30	0,21
11,100	0,51	-0,30	0,32
11,120	0,51	-0,29	0,43
11,140	0,50	-0,28	0,42
11,160	0,50	-0,27	0,53
11,180	0,49	-0,26	0,65
11,200	0,49	-0,25	0,54
11,220	0,48	-0,24	0,53
11,240	0,48	-0,22	0,65
11,260	0,47	-0,21	0,64
11,280	0,47	-0,20	0,75
11,300	0,47	-0,18	0,75
11,320	0,46	-0,17	0,74
11,340	0,46	-0,15	0,97
11,360	0,46	-0,13	0,98
11,380	0,45	-0,11	0,86
11,400	0,45	-0,10	0,86
11,420	0,45	-0,08	0,85
11,440	0,45	-0,06	0,97
11,460	0,45	-0,04	0,97
11,480	0,45	-0,02	0,85
11,500	0,45	-0,01	0,96
11,520	0,45	0,02	1,08
11,540	0,45	0,04	0,97
11,560	0,45	0,05	0,85
11,580	0,45	0,07	0,97
11,600	0,45	0,09	0,97
11,620	0,45	0,11	0,86
11,640	0,45	0,13	0,86
11,660	0,46	0,14	0,87
11,680	0,46	0,16	0,76
11,700	0,46	0,18	0,64
11,720	0,47	0,19	0,64
11,740	0,47	0,20	0,64
11,760	0,48	0,21	0,64
11,780	0,48	0,23	0,64
11,800	0,48	0,24	0,75
11,820	0,49	0,26	0,77
11,840	0,50	0,27	0,44
11,860	0,50	0,27	0,22
11,880	0,51	0,28	0,11
11,900	0,51	0,28	0,10
11,920	0,52	0,28	0,12
11,940	0,52	0,28	1,40
11,960	0,53	0,34	1,59
11,980	0,54	0,35	-1,17
12,000	0,54	0,29	-1,41
12,020	0,55	0,29	0,25
12,040	0,55	0,30	-0,21
12,060	0,56	0,28	-0,33
12,080	0,57	0,29	-0,19
